csv_no,json_file,json_source,field,status,score,csv_value,json_value
2,2. Zhu et al. (2025). Predictive insights into U.S. students’ mathematics.json,json,dependent_outcome,partial,0.355,Mathematics performance (10 plausible values PV1MATH–PV10MATH averaged as outcome),Mathematics achievement (PVs)
2,2. Zhu et al. (2025). Predictive insights into U.S. students’ mathematics.json,json,journal_venue,agree,1.0,International Journal of Educational Research,International Journal of Educational Research
3,3. Zhou et al. (2024). Investigating response behavior through TF-IDF and.json,json,year,agree,1.0,2024,2024
3,3. Zhou et al. (2024). Investigating response behavior through TF-IDF and.json,json,title,agree,1.0,Investigating response behavior through TF-IDF and Word2vec text analysis: A case study of PISA 2012 problem-solving process data,Investigating response behavior through TF-IDF and Word2vec text analysis: A case study of PISA 2012 problem-solving process data
3,3. Zhou et al. (2024). Investigating response behavior through TF-IDF and.json,json,authors,agree,1.0,"geng,han,yang,ye,zhang,zhou","geng,han,yang,ye,zhang,zhou"
3,3. Zhou et al. (2024). Investigating response behavior through TF-IDF and.json,json,ilsa_assessment,agree,1.0,pisa,pisa
3,3. Zhou et al. (2024). Investigating response behavior through TF-IDF and.json,json,ml_methods,agree,1.0,"clustering,k nn,knn,logistic regression,neural network,random forest,svm","clustering,k nn,knn,logistic regression,neural network,random forest,svm"
3,3. Zhou et al. (2024). Investigating response behavior through TF-IDF and.json,json,software,disagree,0.125,All methods were implemented in Python’s Sklearn library.,"r,scikit"
3,3. Zhou et al. (2024). Investigating response behavior through TF-IDF and.json,json,countries,missing,,None,
3,3. Zhou et al. (2024). Investigating response behavior through TF-IDF and.json,json,dependent_outcome,partial,0.274,The binary correctness of the PISA 2012 problem-solving item (‘correct’ or ‘incorrect’ response).,Correct response (binary 0/1)
3,3. Zhou et al. (2024). Investigating response behavior through TF-IDF and.json,json,journal_venue,agree,1.0,Heliyon,Heliyon
4,4. Zheng et al. (2023). Identifying key features of resilient students in.json,json,year,agree,1.0,2023,2023
4,4. Zheng et al. (2023). Identifying key features of resilient students in.json,json,title,agree,1.0,Identifying key features of resilient students in digital reading: Insights from a machine learning approach,Identifying key features of resilient students in digital reading: Insights from a machine learning approach
4,4. Zheng et al. (2023). Identifying key features of resilient students in.json,json,authors,agree,1.0,"cheung,sit,zheng","cheung,sit,zheng"
4,4. Zheng et al. (2023). Identifying key features of resilient students in.json,json,ilsa_assessment,agree,1.0,pisa,pisa
4,4. Zheng et al. (2023). Identifying key features of resilient students in.json,json,ml_methods,agree,0.85,"random forest,svm","k nn,knn,neural network,random forest,svm"
4,4. Zheng et al. (2023). Identifying key features of resilient students in.json,json,software,disagree,0.125,Python 3.9.13 program was utilized to implement all data analysis procedures.,r
4,4. Zheng et al. (2023). Identifying key features of resilient students in.json,json,countries,agree,0.8,"Asia (Beijing-Shanghai-Jiangsu-Zhejiang (B-S-J-Z), Hong Kong, Macao, Taiwan, Japan, Korea, and Singapore)","chn,hkg,jpn,kor,mac,sgp,twn"
4,4. Zheng et al. (2023). Identifying key features of resilient students in.json,json,dependent_outcome,agree,0.477,ARS (academically resilient students) vs NRS (non-academically resilient students),Academic resilience classification (ARS vs NRS; binary)
4,4. Zheng et al. (2023). Identifying key features of resilient students in.json,json,journal_venue,agree,1.0,Education and Information Technologies,Education and Information Technologies
5,5. Song & Cutumisu. (2024). Using machine learning to predict student science.json,json,year,agree,1.0,2024,2024
5,5. Song & Cutumisu. (2024). Using machine learning to predict student science.json,json,title,agree,1.0,Using machine learning to predict student science achievement based on science curriculum type in TIMSS 2019,Using machine learning to predict student science achievement based on science curriculum type in TIMSS 2019
5,5. Song & Cutumisu. (2024). Using machine learning to predict student science.json,json,authors,agree,1.0,"cutumisu,song","cutumisu,song"
5,5. Song & Cutumisu. (2024). Using machine learning to predict student science.json,json,ilsa_assessment,agree,1.0,timss,"iea,timss"
5,5. Song & Cutumisu. (2024). Using machine learning to predict student science.json,json,ml_methods,agree,1.0,"decision tree,k nn,knn,lasso,logistic regression,neural network,random forest","decision tree,k nn,knn,lasso,logistic regression,neural network,random forest"
5,5. Song & Cutumisu. (2024). Using machine learning to predict student science.json,json,software,partial,0.4,IEA IDB Analyzer and SPSS,"r,spss"
5,5. Song & Cutumisu. (2024). Using machine learning to predict student science.json,json,countries,missing,,44 countries,
5,5. Song & Cutumisu. (2024). Using machine learning to predict student science.json,json,dependent_outcome,agree,0.482,"Science achievement, measured using five plausible values (BSSSCI01–BSSSCI05).",Science achievement (Plausible Values BSSSCI01–BSSSCI05) Curriculum effect on science achievement (Average Treatment Effect via propensity score matching)
5,5. Song & Cutumisu. (2024). Using machine learning to predict student science.json,json,journal_venue,agree,1.0,International Journal of Science Education,International Journal of Science Education
6,6. Elouafi et al. (2025). Uncovering Key Factors of Student Performance in Math.json,json,year,agree,1.0,2025,2025
6,6. Elouafi et al. (2025). Uncovering Key Factors of Student Performance in Math.json,json,title,agree,1.0,Uncovering Key Factors of Student Performance in Math: An Explainable Deep Learning Approach Using TIMSS 2019 Data,Uncovering Key Factors of Student Performance in Math: An Explainable Deep Learning Approach Using TIMSS 2019 Data
6,6. Elouafi et al. (2025). Uncovering Key Factors of Student Performance in Math.json,json,authors,disagree,0.143,"eddarouich,elouafi,tammouch,touahni","a e,elouafi,i t,r t"
6,6. Elouafi et al. (2025). Uncovering Key Factors of Student Performance in Math.json,json,ilsa_assessment,agree,1.0,timss,timss
6,6. Elouafi et al. (2025). Uncovering Key Factors of Student Performance in Math.json,json,ml_methods,agree,1.0,"decision tree,neural network,random forest,shap,svm,xgboost","decision tree,neural network,random forest,shap,svm,xgboost"
6,6. Elouafi et al. (2025). Uncovering Key Factors of Student Performance in Math.json,json,software,disagree,0.0,Python,r
6,6. Elouafi et al. (2025). Uncovering Key Factors of Student Performance in Math.json,json,countries,agree,1.0,Morocco,mar
6,6. Elouafi et al. (2025). Uncovering Key Factors of Student Performance in Math.json,json,dependent_outcome,agree,0.508,Mathematics achievement (binary high vs low performance from TIMSS plausible values),Mathematics performance (binary from PV tiers)
6,6. Elouafi et al. (2025). Uncovering Key Factors of Student Performance in Math.json,json,journal_venue,agree,1.0,Information,Information
7,7. Alas & Tezer. (2024). Artificial Neural Network and Adaptive Neuro Fuzzy.json,json,year,agree,1.0,2024,2024
7,7. Alas & Tezer. (2024). Artificial Neural Network and Adaptive Neuro Fuzzy.json,json,title,agree,0.997,Artificial Neural Network and Adaptive Neuro Fuzzy Inference System Hybridized Models in the Sustainable Integration of Language and Mathematics Skills: The Cas,Artificial Neural Network and Adaptive Neuro Fuzzy Inference System Hybridized Models in the Sustainable Integration of Language and Mathematics Skills: The Cas
7,7. Alas & Tezer. (2024). Artificial Neural Network and Adaptive Neuro Fuzzy.json,json,authors,agree,1.0,"alas,tezer","alas,tezer"
7,7. Alas & Tezer. (2024). Artificial Neural Network and Adaptive Neuro Fuzzy.json,json,ilsa_assessment,agree,1.0,pisa,pisa
7,7. Alas & Tezer. (2024). Artificial Neural Network and Adaptive Neuro Fuzzy.json,json,ml_methods,agree,0.85,"anfis,neural network","anfis,neural network,random forest"
7,7. Alas & Tezer. (2024). Artificial Neural Network and Adaptive Neuro Fuzzy.json,json,software,disagree,0.333,MATLAB 2019a version ANFIS toolbox,"matlab,r"
7,7. Alas & Tezer. (2024). Artificial Neural Network and Adaptive Neuro Fuzzy.json,json,countries,agree,1.0,Singapore and Hong Kong,"hkg,sgp"
7,7. Alas & Tezer. (2024). Artificial Neural Network and Adaptive Neuro Fuzzy.json,json,dependent_outcome,partial,0.253,PISA mathematics scores (achievement level).,Language skills (PISA-based output used in ANN Model 1) Language skills (PISA-based output used in ANFIS Model 2)
7,7. Alas & Tezer. (2024). Artificial Neural Network and Adaptive Neuro Fuzzy.json,json,journal_venue,agree,1.0,Sustainability,Sustainability
8,8. Ac?sl?-Celik & Yesilkanat. (2023). Predicting science achievement scores with machine.json,json,year,agree,1.0,2023,2023
8,8. Ac?sl?-Celik & Yesilkanat. (2023). Predicting science achievement scores with machine.json,json,title,agree,1.0,Predicting science achievement scores with machine learning algorithms: a case study of OECD PISA 2015–2018 data,Predicting science achievement scores with machine learning algorithms: a case study of OECD PISA 2015–2018 data
8,8. Ac?sl?-Celik & Yesilkanat. (2023). Predicting science achievement scores with machine.json,json,authors,agree,1.0,"ac sl celik,yesilkanat","ac sl celik,yesilkanat"
8,8. Ac?sl?-Celik & Yesilkanat. (2023). Predicting science achievement scores with machine.json,json,ilsa_assessment,agree,1.0,pisa,pisa
8,8. Ac?sl?-Celik & Yesilkanat. (2023). Predicting science achievement scores with machine.json,json,ml_methods,agree,0.85,"gradient boosting,random forest,svm,xgboost","random forest,svm,xgboost"
8,8. Ac?sl?-Celik & Yesilkanat. (2023). Predicting science achievement scores with machine.json,json,software,disagree,0.091,"R (kernlab, randomForest, xgboost, caret, cross-validation, scatter plot generation, and data visualization)",r
8,8. Ac?sl?-Celik & Yesilkanat. (2023). Predicting science achievement scores with machine.json,json,countries,partial,0.357,"13 randomly selected countries (Brazil, Chinese Taipei, Dominican Republic, Estonia, Finland, Hungary, Italy, Japan,
Lit","bra,dom,est,fin,hun,ita,jpn,ltu,lux,per,sgp,tur,twn"
8,8. Ac?sl?-Celik & Yesilkanat. (2023). Predicting science achievement scores with machine.json,json,dependent_outcome,agree,0.486,PISA science achievement scores (PV2SCIE) for 2015,Science achievement (PISA 2018 PV2SCIE) Country average science achievement (PISA 2018 PV2SCIE mean)
8,8. Ac?sl?-Celik & Yesilkanat. (2023). Predicting science achievement scores with machine.json,json,journal_venue,agree,1.0,Neural Computing and Applications,Neural Computing and Applications
9,9. Alkan et al. (2025). Educational improvement through machine learning.json,json,year,agree,1.0,2025,2025
9,9. Alkan et al. (2025). Educational improvement through machine learning.json,json,title,agree,1.0,Educational improvement through machine learning: Strategic models for better PISA scores,Educational improvement through machine learning: Strategic models for better PISA scores
9,9. Alkan et al. (2025). Educational improvement through machine learning.json,json,authors,disagree,0.0,"alkan,karaku,kuzucuk,odabasi",
9,9. Alkan et al. (2025). Educational improvement through machine learning.json,json,ilsa_assessment,agree,1.0,pisa,pisa
9,9. Alkan et al. (2025). Educational improvement through machine learning.json,json,ml_methods,agree,1.0,random forest,random forest
9,9. Alkan et al. (2025). Educational improvement through machine learning.json,json,software,disagree,0.143,R (version 4.3) with Boruta package for Random Forest implementation,r
9,9. Alkan et al. (2025). Educational improvement through machine learning.json,json,countries,disagree,0.0,37 OECD countries,"aut,bel,can,che,chl,col,cri,cze,deu,dnk,esp,est,fin,fra,gbr"
9,9. Alkan et al. (2025). Educational improvement through machine learning.json,json,dependent_outcome,disagree,0.156,PISA Science Achievement Score (PV2SCIE) and domain scores in reading and maths,Reading success classification (high vs low vs OECD average) Mathematics success classification (high vs low vs OECD average) Science success classification (hi
9,9. Alkan et al. (2025). Educational improvement through machine learning.json,json,journal_venue,agree,1.0,PLoS One,PLOS One
10,10. Aydo?an & Tat. (2025). Investigating the Performance of Artificial Neural.json,json,year,agree,1.0,2025,2025
10,10. Aydo?an & Tat. (2025). Investigating the Performance of Artificial Neural.json,json,title,agree,1.0,Investigating the Performance of Artificial Neural Networks in Predicting Affective Responses,Investigating the Performance of Artificial Neural Networks in Predicting Affective Responses
10,10. Aydo?an & Tat. (2025). Investigating the Performance of Artificial Neural.json,json,authors,disagree,0.333,"aydo an,tat","aydogan,tat"
10,10. Aydo?an & Tat. (2025). Investigating the Performance of Artificial Neural.json,json,ilsa_assessment,agree,1.0,pisa,pisa
10,10. Aydo?an & Tat. (2025). Investigating the Performance of Artificial Neural.json,json,ml_methods,agree,0.85,"neural network,random forest",neural network
10,10. Aydo?an & Tat. (2025). Investigating the Performance of Artificial Neural.json,json,software,disagree,0.333,"R, Mplus, and SPSS",r
10,10. Aydo?an & Tat. (2025). Investigating the Performance of Artificial Neural.json,json,countries,disagree,0.0,Lebanon,lbn
10,10. Aydo?an & Tat. (2025). Investigating the Performance of Artificial Neural.json,json,dependent_outcome,partial,0.419,Predicted responses to affective items (Item3 and Item7 of the Intercultural Communicative Awareness scale),Item3 response (Awacom) Item7 response (Awacom)
10,10. Aydo?an & Tat. (2025). Investigating the Performance of Artificial Neural.json,json,journal_venue,agree,1.0,Journal of Measurement and Evaluation in Education and Psychology,Journal of Measurement and Evaluation in Education and Psychology
11,11. Demir & Karabo?a. (2021). Modeling mathematics achievement with deep learning.json,json,year,agree,1.0,2021,2021
11,11. Demir & Karabo?a. (2021). Modeling mathematics achievement with deep learning.json,json,title,agree,1.0,Modeling mathematics achievement with deep learning methods,Modeling mathematics achievement with deep learning methods
11,11. Demir & Karabo?a. (2021). Modeling mathematics achievement with deep learning.json,json,authors,disagree,0.333,"demir,karabo a","demir,karaboga"
11,11. Demir & Karabo?a. (2021). Modeling mathematics achievement with deep learning.json,json,ilsa_assessment,agree,1.0,pisa,pisa
11,11. Demir & Karabo?a. (2021). Modeling mathematics achievement with deep learning.json,json,ml_methods,agree,1.0,"logistic regression,neural network,random forest","logistic regression,neural network,random forest"
11,11. Demir & Karabo?a. (2021). Modeling mathematics achievement with deep learning.json,json,software,missing,,NA,r
11,11. Demir & Karabo?a. (2021). Modeling mathematics achievement with deep learning.json,json,countries,agree,1.0,Türkiye,tur
11,11. Demir & Karabo?a. (2021). Modeling mathematics achievement with deep learning.json,json,dependent_outcome,agree,0.914,Mathematical achievement (PV1MATH),Mathematical achievement class (PV1MATH)
11,11. Demir & Karabo?a. (2021). Modeling mathematics achievement with deep learning.json,json,journal_venue,agree,1.0,Sigma Journal of Engineering and Natural Sciences,Sigma Journal of Engineering and Natural Sciences
12,12. Gómez-Talal et al. (2025). Interpretable Machine Learning Models for PISA Results.json,json,year,agree,1.0,2025,2025
12,12. Gómez-Talal et al. (2025). Interpretable Machine Learning Models for PISA Results.json,json,title,agree,1.0,Interpretable Machine Learning Models for PISA Results in Mathematics,Interpretable Machine Learning Models for PISA Results in Mathematics
12,12. Gómez-Talal et al. (2025). Interpretable Machine Learning Models for PISA Results.json,json,authors,agree,1.0,"bote curiel,gomez talal,rojo alvarez","bote curiel,gomez talal,rojo alvarez"
12,12. Gómez-Talal et al. (2025). Interpretable Machine Learning Models for PISA Results.json,json,ilsa_assessment,agree,1.0,pisa,pisa
12,12. Gómez-Talal et al. (2025). Interpretable Machine Learning Models for PISA Results.json,json,ml_methods,agree,1.0,"decision tree,gradient boosting,lightgbm,logistic regression,neural network,random forest,shap,svm,xgboost","decision tree,gradient boosting,lightgbm,logistic regression,neural network,random forest,shap,svm,xgboost"
12,12. Gómez-Talal et al. (2025). Interpretable Machine Learning Models for PISA Results.json,json,software,disagree,0.0,"Dash, Plotly, Python, UMAP, SHAP",r
12,12. Gómez-Talal et al. (2025). Interpretable Machine Learning Models for PISA Results.json,json,countries,agree,1.0,Spain,esp
12,12. Gómez-Talal et al. (2025). Interpretable Machine Learning Models for PISA Results.json,json,dependent_outcome,agree,0.463,Mathematical achievement (score proficiency levels Low/Medium/High),Mathematics proficiency (Low vs High) Mathematics proficiency (Medium vs High) Mathematics proficiency (Low vs Medium)
12,12. Gómez-Talal et al. (2025). Interpretable Machine Learning Models for PISA Results.json,json,journal_venue,agree,1.0,IEEE Access,IEEE Access
13,13. Bu & Chen. (2023). What key contextual factors contribute to students’.json,json,year,agree,1.0,2023,2023
13,13. Bu & Chen. (2023). What key contextual factors contribute to students’.json,json,title,agree,1.0,What key contextual factors contribute to students’ reading literacy among top-performing countries and economies? Statistical and machine learning analyses,What key contextual factors contribute to students’ reading literacy among top-performing countries and economies? Statistical and machine learning analyses
13,13. Bu & Chen. (2023). What key contextual factors contribute to students’.json,json,authors,agree,1.0,"bu,chen","bu,chen"
13,13. Bu & Chen. (2023). What key contextual factors contribute to students’.json,json,ilsa_assessment,agree,1.0,pisa,pisa
13,13. Bu & Chen. (2023). What key contextual factors contribute to students’.json,json,ml_methods,agree,1.0,"decision tree,gradient boosting,random forest,shap","decision tree,gradient boosting,random forest,shap"
13,13. Bu & Chen. (2023). What key contextual factors contribute to students’.json,json,software,missing,,NA,r
13,13. Bu & Chen. (2023). What key contextual factors contribute to students’.json,json,countries,agree,0.8,"Asian Countries: Beijing-Shanghai-Jiangsu-Zhejiang (B-S-J-Z), Singapore, and Macau","chn,mac,sgp"
13,13. Bu & Chen. (2023). What key contextual factors contribute to students’.json,json,dependent_outcome,agree,0.675,Reading literacy scores (PV1READ),Reading literacy (PV1READ) Reading literacy (PV1READ)
13,13. Bu & Chen. (2023). What key contextual factors contribute to students’.json,json,journal_venue,agree,1.0,International Journal of Educational Research,International Journal of Educational Research
14,14. Choi & Sung. (2024). Do Key Predictors of Academic Resilience Differ Across.json,json,year,agree,1.0,2024,2024
14,14. Choi & Sung. (2024). Do Key Predictors of Academic Resilience Differ Across.json,json,title,agree,1.0,Do Key Predictors of Academic Resilience Differ Across Cultures? Evidence From Korea and the US,Do Key Predictors of Academic Resilience Differ Across Cultures? Evidence From Korea and the US
14,14. Choi & Sung. (2024). Do Key Predictors of Academic Resilience Differ Across.json,json,authors,agree,1.0,"choi,sung","choi,sung"
14,14. Choi & Sung. (2024). Do Key Predictors of Academic Resilience Differ Across.json,json,ilsa_assessment,agree,1.0,pisa,pisa
14,14. Choi & Sung. (2024). Do Key Predictors of Academic Resilience Differ Across.json,json,ml_methods,agree,1.0,random forest,random forest
14,14. Choi & Sung. (2024). Do Key Predictors of Academic Resilience Differ Across.json,json,software,disagree,0.167,R statistical programming (version 4.2.2) (randomForest package),r
14,14. Choi & Sung. (2024). Do Key Predictors of Academic Resilience Differ Across.json,json,countries,agree,1.0,"Korea
and US","kor,usa"
14,14. Choi & Sung. (2024). Do Key Predictors of Academic Resilience Differ Across.json,json,dependent_outcome,agree,0.542,Academic resilience defined as achieving Level 3 or higher in reading literacy despite economic disadvantage.,Academic resilience (binary: Level 3+ reading among bottom-ESCS students)
14,14. Choi & Sung. (2024). Do Key Predictors of Academic Resilience Differ Across.json,json,journal_venue,agree,1.0,Youth & Society,Youth & Society
15,15. Damiani et al. (2024). Young people’s civic engagement in Italy- evidence on.json,json,year,agree,1.0,2024,2024
15,15. Damiani et al. (2024). Young people’s civic engagement in Italy- evidence on.json,json,title,agree,1.0,Young people’s civic engagement in Italy/ evidence on grade 8 students from the international civic and citizenship education study (ICCS) 2016,Young people’s civic engagement in Italy: evidence on grade 8 students from the international civic and citizenship education study (ICCS) 2016
15,15. Damiani et al. (2024). Young people’s civic engagement in Italy- evidence on.json,json,authors,disagree,0.167,"agrusti,caponera,damiani,losito,palmerio","damiani,text"
15,15. Damiani et al. (2024). Young people’s civic engagement in Italy- evidence on.json,json,ilsa_assessment,agree,1.0,iccs,iccs
15,15. Damiani et al. (2024). Young people’s civic engagement in Italy- evidence on.json,json,ml_methods,agree,0.85,logistic regression,"logistic regression,neural network"
15,15. Damiani et al. (2024). Young people’s civic engagement in Italy- evidence on.json,json,software,partial,0.4,"IEA IDB Analyzer (v.5.0.), Mplus 8.2","mplus,r"
15,15. Damiani et al. (2024). Young people’s civic engagement in Italy- evidence on.json,json,countries,agree,1.0,Italy,ita
15,15. Damiani et al. (2024). Young people’s civic engagement in Italy- evidence on.json,json,dependent_outcome,agree,0.907,"latent engagement profile membership (disengaged, moderately engaged, or engaged)",Civic engagement profile membership (disengaged/moderately engaged/engaged)
15,15. Damiani et al. (2024). Young people’s civic engagement in Italy- evidence on.json,json,journal_venue,agree,1.0,Large-scale Assessments in Education,Large-scale Assessments in Education
16,16. Bernardo et al. (2021). Using Machine Learning Approaches to Explore.json,json,year,agree,1.0,2021,2021
16,16. Bernardo et al. (2021). Using Machine Learning Approaches to Explore.json,json,title,agree,1.0,Using Machine Learning Approaches to Explore Non-Cognitive Variables Influencing Reading Proficiency in English among Filipino Learners,Using Machine Learning Approaches to Explore Non-Cognitive Variables Influencing Reading Proficiency in English among Filipino Learners
16,16. Bernardo et al. (2021). Using Machine Learning Approaches to Explore.json,json,authors,disagree,0.0,"bernardo,chua,ii,lucas,teves,yap","a b i b,j m m t,m o c ii,r i g l,s a y,u c c"
16,16. Bernardo et al. (2021). Using Machine Learning Approaches to Explore.json,json,ilsa_assessment,agree,1.0,pisa,pisa
16,16. Bernardo et al. (2021). Using Machine Learning Approaches to Explore.json,json,ml_methods,agree,0.875,"gradient boosting,k nn,knn,logistic regression,neural network,random forest,svm","gradient boosting,k nn,knn,logistic regression,neural network,random forest,shap,svm"
16,16. Bernardo et al. (2021). Using Machine Learning Approaches to Explore.json,json,software,disagree,0.0,Python,r
16,16. Bernardo et al. (2021). Using Machine Learning Approaches to Explore.json,json,countries,disagree,0.0,Philippines,phl
16,16. Bernardo et al. (2021). Using Machine Learning Approaches to Explore.json,json,dependent_outcome,agree,0.511,Reading proficiency classification (low vs. high),Reading proficiency group (low Levels 1b and below vs high Levels 1a and above) using PV1READ
16,16. Bernardo et al. (2021). Using Machine Learning Approaches to Explore.json,json,journal_venue,agree,0.971,Education Science,Education Sciences
17,17. McJames et al. (2023). Factors a?ecting teacher job satisfaction a causal.json,json,year,agree,1.0,2023,2023
17,17. McJames et al. (2023). Factors a?ecting teacher job satisfaction a causal.json,json,title,agree,0.987,Factors a?ecting teacher job satisfaction: a causal inference machine learning approach using data from TALIS 2018,Factors affecting teacher job satisfaction: a causal inference machine learning approach using data from TALIS 2018
17,17. McJames et al. (2023). Factors a?ecting teacher job satisfaction a causal.json,json,authors,partial,0.5,"mcjames,o shea,parnell","mcjames,others,parnell"
17,17. McJames et al. (2023). Factors a?ecting teacher job satisfaction a causal.json,json,ilsa_assessment,agree,1.0,talis,talis
17,17. McJames et al. (2023). Factors a?ecting teacher job satisfaction a causal.json,json,ml_methods,agree,1.0,bart,bart
17,17. McJames et al. (2023). Factors a?ecting teacher job satisfaction a causal.json,json,software,disagree,0.333,"R (missRanger, bartCause)",r
17,17. McJames et al. (2023). Factors a?ecting teacher job satisfaction a causal.json,json,countries,disagree,0.0,England,gbr
17,17. McJames et al. (2023). Factors a?ecting teacher job satisfaction a causal.json,json,dependent_outcome,partial,0.411,Teacher job satisfaction (scale score constructed via confirmatory factor analysis from eight Likert items),Teacher job satisfaction (continuous scale)
17,17. McJames et al. (2023). Factors a?ecting teacher job satisfaction a causal.json,json,journal_venue,agree,1.0,Educational Review,Educational Review
18,18. Khine et al. (2025). From Meals to Marks Modeling the Impact of Family.json,json,year,agree,1.0,2025,2025
18,18. Khine et al. (2025). From Meals to Marks Modeling the Impact of Family.json,json,title,agree,1.0,From Meals to Marks: Modeling the Impact of Family Involvement on Reading Performance with Counterfactual Explainable AI,From Meals to Marks: Modeling the Impact of Family Involvement on Reading Performance with Counterfactual Explainable AI
18,18. Khine et al. (2025). From Meals to Marks Modeling the Impact of Family.json,json,authors,disagree,0.2,"ali,khine,khurma","khine,n a,o a k"
18,18. Khine et al. (2025). From Meals to Marks Modeling the Impact of Family.json,json,ilsa_assessment,agree,1.0,pisa,pisa
18,18. Khine et al. (2025). From Meals to Marks Modeling the Impact of Family.json,json,ml_methods,agree,1.0,"gradient boosting,neural network,random forest,shap","gradient boosting,neural network,random forest,shap"
18,18. Khine et al. (2025). From Meals to Marks Modeling the Impact of Family.json,json,software,disagree,0.182,"Python 3.13.0 using Scikit-learn, SHAP, GridSearchCV, Pandas, and Numpy; for visualization, Matplotlib 3.10.0 and Seabor","r,scikit"
18,18. Khine et al. (2025). From Meals to Marks Modeling the Impact of Family.json,json,countries,disagree,0.0,United Arab Emirates (UAE) ,are
18,18. Khine et al. (2025). From Meals to Marks Modeling the Impact of Family.json,json,dependent_outcome,agree,0.535,Reading Achievment: Measures reading proficiency as plausible values derived from standardized assessment protocols.,Reading achievement (READING plausible value)
18,18. Khine et al. (2025). From Meals to Marks Modeling the Impact of Family.json,json,journal_venue,agree,0.971,Education Science,Education Sciences
19,19. Khoudi et al. (2024). Finding the contextual impacts on Students’.json,json,year,agree,1.0,2024,2024
19,19. Khoudi et al. (2024). Finding the contextual impacts on Students’.json,json,title,agree,1.0,Finding the contextual impacts on Students’ Mathematical performance using a Machine Learning-based Approach,Finding the contextual impacts on Students’ Mathematical performance using a Machine Learning-based Approach
19,19. Khoudi et al. (2024). Finding the contextual impacts on Students’.json,json,authors,agree,1.0,"khoudi,lyaqini,nachaoui","khoudi,lyaqini,nachaoui"
19,19. Khoudi et al. (2024). Finding the contextual impacts on Students’.json,json,ilsa_assessment,agree,1.0,timss,timss
19,19. Khoudi et al. (2024). Finding the contextual impacts on Students’.json,json,ml_methods,agree,0.85,"random forest,svm,xgboost","neural network,random forest,svm,xgboost"
19,19. Khoudi et al. (2024). Finding the contextual impacts on Students’.json,json,software,disagree,0.167,IDB Analyzer (version 5.0) offered by IEA,r
19,19. Khoudi et al. (2024). Finding the contextual impacts on Students’.json,json,countries,agree,1.0,Morocco,mar
19,19. Khoudi et al. (2024). Finding the contextual impacts on Students’.json,json,dependent_outcome,agree,0.694,"Mathematical achievement (binary classification: Low=0, High=1)",Mathematics achievement (Low vs Others benchmark classification)
19,19. Khoudi et al. (2024). Finding the contextual impacts on Students’.json,json,journal_venue,agree,0.98,Infocommunication Journal,Infocommunications journal
20,20. Güre et al. (2020). Analysis of Factors Effecting PISA 2015 Mathematics.json,json,year,agree,1.0,2020,2020
