doi,variable_code,variable_name,category,source_category,predictor_level,predictor_category
10.1007/s10639-024-12580-8,BELONG,Sense of belonging,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1007/s10639-024-12580-8,ATTLNACT,Value of school,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1007/s10639-024-12580-8,STULS,Life satisfaction,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1007/s10639-024-12580-8,EUDMO,Meaning in life,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1007/s10639-024-12580-8,MASTGOAL,Learning goals,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1007/s10639-024-12580-8,COMPETE,Attitudes toward competition,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1007/s10639-024-12580-8,EMOSUPS,Parents emotional support,parent_home,peer_reviewed_research,Student Level,Student: SES
10.1016/j.appdev.2025.101828,mastery_goal_orientation,Mastery goal orientation,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1016/j.appdev.2025.101828,meaning_of_life,Meaning of life,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1016/j.appdev.2025.101828,proud,Proud emotion,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1016/j.appdev.2025.101828,positive_emotions,Positive emotions,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1016/j.appdev.2025.101828,learning_aspiration,Learning aspiration,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1016/j.appdev.2025.101828,performance_approach_goal_orientation,Performance-approach goal orientation,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1016/j.appdev.2025.101828,reading_self_concept,Reading self-concept,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1016/j.appdev.2025.101828,parents_emotional_support,Parents’ emotional support,parent_home,peer_reviewed_research,Student Level,Student: SES
10.1016/j.appdev.2025.101828,empathy,Empathy,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1016/j.appdev.2025.101828,scary_emotion,Scared emotion,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1016/j.appdev.2025.101828,cooperation_climate,Cooperation climate,peer_effects,peer_reviewed_research,School/Teacher Level,School/Teacher: Context
10.1016/j.appdev.2025.101828,competition_climate,Competition climate,peer_effects,peer_reviewed_research,School/Teacher Level,School/Teacher: Context
10.1016/j.appdev.2025.101828,teacher_instruction_strategies,Teacher instruction strategies,teacher,peer_reviewed_research,School/Teacher Level,School/Teacher: Practice
10.1016/j.appdev.2025.101828,teacher_understanding,Teacher understanding,teacher,peer_reviewed_research,School/Teacher Level,School/Teacher: Practice
10.1016/j.appdev.2025.101828,study_possessions,Study possessions,parent_home,peer_reviewed_research,Student Level,Student: SES
10.1016/j.appdev.2025.101828,home_possessions,Home possessions,parent_home,peer_reviewed_research,Student Level,Student: SES
10.1016/j.appdev.2025.101828,teacher_evaluation,Teacher evaluation,teacher,peer_reviewed_research,School/Teacher Level,School/Teacher: Practice
10.1016/j.appdev.2025.101828,differentiated_classrooms,Differentiated classrooms,school,peer_reviewed_research,School/Teacher Level,School/Teacher: Context
10.1016/j.appdev.2025.101828,admission_criteria_feeder_schools,Admission criteria (feeder schools),system_level,peer_reviewed_research,System/Country Level,System: Policy/Context
10.1016/j.appdev.2025.101828,admission_criteria_residence_area,Admission criteria (residence area),system_level,peer_reviewed_research,System/Country Level,System: Policy/Context
10.1016/j.appdev.2025.101828,funding_source_student_fees,Funding source (student fees),system_level,peer_reviewed_research,System/Country Level,System: Policy/Context
10.1016/j.appdev.2025.101828,funding_source_government,Funding source (government),system_level,peer_reviewed_research,System/Country Level,System: Policy/Context
10.1016/j.appdev.2025.101828,external_evaluation_of_schools,External evaluation of schools,system_level,peer_reviewed_research,System/Country Level,System: Policy/Context
10.1016/j.appdev.2025.101828,Malaysia,Malaysia (country of origin),system_level,peer_reviewed_research,System/Country Level,System: Policy/Context
10.1016/j.appdev.2025.101828,Japan,Japan (country of origin),system_level,peer_reviewed_research,System/Country Level,System: Policy/Context
10.1016/j.appdev.2025.101828,Kazakhstan,Kazakhstan (country of origin),system_level,peer_reviewed_research,System/Country Level,System: Policy/Context
10.1016/j.appdev.2025.101828,Indonesia,Indonesia (country of origin),system_level,peer_reviewed_research,System/Country Level,System: Policy/Context
10.1016/j.appdev.2025.101828,BSJZ,B.S.J.Z. China (country of origin),system_level,peer_reviewed_research,System/Country Level,System: Policy/Context
10.14744/sigma.2021.00039,ST004D01T,Gender,demographic,peer_reviewed_research,Student Level,Student: Demographic
10.14744/sigma.2021.00039,MMINS,Mathematics learning time,curriculum,peer_reviewed_research,School/Teacher Level,School/Teacher: Context
10.14744/sigma.2021.00039,GFOFAIL,Fear of failure,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.14744/sigma.2021.00039,BELONG,Sense of belonging,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.14744/sigma.2021.00039,FISCED,Father’s education,socioeconomic,peer_reviewed_research,Student Level,Student: SES
10.14744/sigma.2021.00039,HISEI,Highest parental occupational status,socioeconomic,peer_reviewed_research,Student Level,Student: SES
10.14744/sigma.2021.00039,ESCS,ESCS socioeconomic index,socioeconomic,peer_reviewed_research,Student Level,Student: SES
10.14744/sigma.2021.00039,HOMEPOS,Home possessions,socioeconomic,peer_reviewed_research,Student Level,Student: SES
10.14744/sigma.2021.00039,EMOSUPS,Parents’ emotional support,parent_home,peer_reviewed_research,Student Level,Student: SES
10.14744/sigma.2021.00039,ICTHOME,ICT available at home,ict,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.14744/sigma.2021.00039,IC152Q02HA,Digital device use in lessons,ict,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1057/s41599-023-01705-y,ST164Q05IA,Summarize text in own words,student_behavior,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1057/s41599-023-01705-y,ST164Q04IA,Underline important text parts,student_behavior,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1057/s41599-023-01705-y,ST164Q02IA,Quickly read text twice,student_behavior,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1057/s41599-023-01705-y,ST164Q01IA,Focus on easy-to-understand parts,student_behavior,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1057/s41599-023-01705-y,ST164Q03IA,Discuss text content with others,student_behavior,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1057/s41599-023-01705-y,BELONG,Sense of belonging,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1057/s41599-023-01705-y,PERCOOP,Perceived student cooperation,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1057/s41599-023-01705-y,BEINGBULLIED,Bullying experience,student_behavior,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1057/s41599-023-01705-y,ST097Q01TA,do not listen to teacher,student_behavior,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1057/s41599-023-01705-y,WORKMAST,Work mastery motivation,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1057/s41599-023-01705-y,BSMJ,Expected occupational status,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1057/s41599-023-01705-y,ST188Q02HA,Proud of accomplishments,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1057/s41599-023-01705-y,ST012Q05NA,Smartphone with internet at home,ict,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1057/s41599-023-01705-y,ST005Q01TA,Mother education level,socioeconomic,peer_reviewed_research,Student Level,Student: SES
10.1057/s41599-023-01705-y,HISEI,Parents occupational status,socioeconomic,peer_reviewed_research,Student Level,Student: SES
10.1007/s11336-022-09880-8,process_feature_dimension,Process feature dimension (K),process_data,peer_reviewed_research,Student Level,Student: Process Data
10.1007/s11336-022-09880-8,generalized_partial_credit_model,Final response item model,curriculum,peer_reviewed_research,School/Teacher Level,School/Teacher: Context
10.1007/s11336-022-09880-8,scoring_set_size,Scoring set item count,curriculum,peer_reviewed_research,School/Teacher Level,School/Teacher: Context
10.1007/s11336-022-09880-8,reference_set_size,Reference set item count,curriculum,peer_reviewed_research,School/Teacher Level,School/Teacher: Context
10.1007/s11336-022-09880-8,studentized_residual_decile,Residual discrepancy decile,process_data,peer_reviewed_research,Student Level,Student: Process Data
10.1007/s10639-023-11881-8,ASDRLOWP,Reading achievement too low,student_behavior,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1007/s10639-023-11881-8,ASDGSCR,confident in reading,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1007/s10639-023-11881-8,ASDHELT,Early literacy tasks,student_behavior,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1007/s10639-023-11881-8,ASDAGE,age,demographic,peer_reviewed_research,Student Level,Student: Demographic
10.1007/s10639-023-11881-8,ASBR06C,Reading is boring,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1007/s10639-023-11881-8,ASBR07E,Reading harder than other,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1007/s10639-023-11881-8,ASBR07F,Not good at reading,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1007/s10639-023-11881-8,ASBH07A,Recognize letters,student_behavior,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1007/s10639-023-11881-8,ASBG03,Often speak Arabic at home,demographic,peer_reviewed_research,Student Level,Student: Demographic
10.1007/s10639-023-11881-8,ATBG07G,Parental commitment,parent_home,peer_reviewed_research,Student Level,Student: SES
10.1007/s10639-023-11881-8,safe,Safe,student_behavior,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1007/s10639-023-11881-8,orderly_school_teacher,orderly school-teacher,teacher,peer_reviewed_research,School/Teacher Level,School/Teacher: Practice
10.1007/s10639-023-11881-8,ACDGEAS,School emphasis on academic success,school,peer_reviewed_research,School/Teacher Level,School/Teacher: Context
10.33225/jbse/22.21.575,METASPAM,Meta-cognition assess credibility,student_behavior,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.33225/jbse/22.21.575,METASUM,Meta-cognition summarizing texts,student_behavior,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.33225/jbse/22.21.575,UNDREM,"Metacognition (understanding, remembering)",student_behavior,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.33225/jbse/22.21.575,JOYREAD,Enjoyment of reading,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.33225/jbse/22.21.575,PISADIFF,Perceived PISA test difficulty,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.33225/jbse/22.21.575,RESILIENCE,Resilience,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.33225/jbse/22.21.575,ESCS,Socioeconomic status (ESCS),socioeconomic,peer_reviewed_research,Student Level,Student: SES
10.33225/jbse/22.21.575,SMINS,Science learning time per week,curriculum,peer_reviewed_research,School/Teacher Level,School/Teacher: Context
10.33225/jbse/22.21.575,ST059Q03TA,Science class periods per week,curriculum,peer_reviewed_research,School/Teacher Level,School/Teacher: Context
10.33225/jbse/22.21.575,ST060Q01NA,School lessons per week,curriculum,peer_reviewed_research,School/Teacher Level,School/Teacher: Context
10.33225/jbse/22.21.575,BELONG,Sense of belonging,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.33225/jbse/22.21.575,GFOFAIL,General fear of failure,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.33225/jbse/22.21.575,EUDMO,Meaning in life,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.33225/jbse/22.21.575,PERFEED,Perceived feedback quality,teacher,peer_reviewed_research,School/Teacher Level,School/Teacher: Practice
10.33225/jbse/22.21.575,PERCOOP,Perceived cooperation at school,peer_effects,peer_reviewed_research,School/Teacher Level,School/Teacher: Context
10.33225/jbse/22.21.575,PERCOMP,Perceived competitiveness at school,peer_effects,peer_reviewed_research,School/Teacher Level,School/Teacher: Context
10.33225/jbse/22.21.575,HEDRES,Home educational resources,socioeconomic,peer_reviewed_research,Student Level,Student: SES
10.33225/jbse/22.21.575,AUTICT,Autonomy related to ICT use,ict,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.33225/jbse/22.21.575,COMPICT,Perceived ICT competence,ict,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.33225/jbse/22.21.575,COMPETE,Competitiveness,peer_effects,peer_reviewed_research,School/Teacher Level,School/Teacher: Context
10.33225/jbse/22.21.575,WEALTH,Family wealth,socioeconomic,peer_reviewed_research,Student Level,Student: SES
10.33225/jbse/22.21.575,TMINS,Total learning time per week,curriculum,peer_reviewed_research,School/Teacher Level,School/Teacher: Context
10.33225/jbse/22.21.575,SCREADCOMP,Reading self-concept competence,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.33225/jbse/22.21.575,ST059Q04HA,Foreign language class periods,curriculum,peer_reviewed_research,School/Teacher Level,School/Teacher: Context
10.33225/jbse/22.21.575,ST185Q01HA,Clear meaning or purpose,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.33225/jbse/22.21.575,HOMEPOS,Home possessions,socioeconomic,peer_reviewed_research,Student Level,Student: SES
10.33225/jbse/22.21.575,ICTOUTSIDE,ICT use outside lessons,ict,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.33225/jbse/22.21.575,ICTRES,ICT resources (ICTRES),ict,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1177/00332941221133005,ST004D01T,gender,demographic,peer_reviewed_research,Student Level,Student: Demographic
10.1177/00332941221133005,ST011Q05TA,Educational software at home,socioeconomic,peer_reviewed_research,Student Level,Student: SES
10.1177/00332941221133005,ST012Q05NA,Cell phones with internet,socioeconomic,peer_reviewed_research,Student Level,Student: SES
10.1177/00332941221133005,books_on_art,Books on art,student_behavior,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1177/00332941221133005,music,music,student_behavior,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1177/00332941221133005,design,design,student_behavior,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1177/00332941221133005,ST038Q05NA,Threatened by other students,school,peer_reviewed_research,School/Teacher Level,School/Teacher: Context
10.1177/00332941221133005,PA007Q04TA,Satisfied with child school discipline,parent_home,peer_reviewed_research,Student Level,Student: SES
10.1177/00332941221133005,ST097Q04TA,cannot work well,school,peer_reviewed_research,School/Teacher Level,School/Teacher: Context
10.1177/00332941221133005,ST078Q07NA,Meet friends after leaving school,peer_effects,peer_reviewed_research,School/Teacher Level,School/Teacher: Context
10.1177/00332941221133005,ST076Q07NA,Meet friends before going to school,peer_effects,peer_reviewed_research,School/Teacher Level,School/Teacher: Context
10.1177/00332941221133005,ST039Q06NA,Teacher insulted in front of others,teacher,peer_reviewed_research,School/Teacher Level,School/Teacher: Practice
10.1177/00332941221133005,ST039Q02NA,Teacher graded harder than others,teacher,peer_reviewed_research,School/Teacher Level,School/Teacher: Practice
10.1177/00332941221133005,ST123Q01NA,Parents interested in school activities,parent_home,peer_reviewed_research,Student Level,Student: SES
10.1177/00332941221133005,PA009Q02NA,Parent involvement hindered by work,parent_home,peer_reviewed_research,Student Level,Student: SES
10.1177/00332941221133005,ST123Q03NA,Parents support during difficulties,parent_home,peer_reviewed_research,Student Level,Student: SES
10.1177/00332941221133005,ST082Q02NA,I am a good listener,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1177/00332941221133005,ST082Q03NA,Enjoy seeing classmates succeed,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1177/00332941221133005,ST082Q14NA,Enjoy cooperating with peers,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1177/00332941221133005,ST082Q13NA,Teamwork raises my efficiency,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1177/00332941221133005,ST082Q01NA,Prefer team work over alone,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1177/00332941221133005,ST118Q05NA,Nervous when not knowing how,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1177/00332941221133005,ST118Q03NA,Anxious even when well-prepared,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1177/00332941221133005,ST121Q01NA,Gives up easily on problems,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1177/00332941221133005,ST119Q04NA,Sees self as ambitious,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1177/00332941221133005,ST119Q01NA,Wants top grades,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1177/00332941221133005,IC008Q05TA,Use digital devices for social networks,ict,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1177/00332941221133005,IC013Q12NA,Feels bad if no internet connection,ict,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1177/00332941221133005,IC013Q05NA,Social networks are useful,ict,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1177/00332941221133005,EC003Q02NA,Chemistry subjects covered,curriculum,peer_reviewed_research,School/Teacher Level,School/Teacher: Context
10.1177/00332941221133005,ST131Q06NA,Prefers experiments more than once,curriculum,peer_reviewed_research,School/Teacher Level,School/Teacher: Context
10.1177/00332941221133005,ST071Q02NA,Hours learning in addition (math),student_behavior,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1177/00332941221133005,ST032Q02NA,Vigorous physical activities daily,student_behavior,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1177/00332941221133005,ST016Q01NA,Life satisfaction,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1109/ACCESS.2025.3538585,REPEAT,Grade repetition,demographic,peer_reviewed_research,Student Level,Student: Demographic
10.1109/ACCESS.2025.3538585,ST253Q01JA0,Digital devices with screens,ict,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1109/ACCESS.2025.3538585,ST255Q01JA,Number of books at home,socioeconomic,peer_reviewed_research,Student Level,Student: SES
10.1109/ACCESS.2025.3538585,ST297Q09TA,Extra mathematics classes,curriculum,peer_reviewed_research,School/Teacher Level,School/Teacher: Context
10.1109/ACCESS.2025.3538585,ST004D01T,Gender,demographic,peer_reviewed_research,Student Level,Student: Demographic
10.1109/ACCESS.2025.3538585,ST294Q02JA0,Study/homework before class,student_behavior,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1109/ACCESS.2025.3538585,ST297Q09JA0_0,No extra mathematics classes,curriculum,peer_reviewed_research,School/Teacher Level,School/Teacher: Context
10.1109/ACCESS.2025.3538585,ST297Q09JA0_0,Attend extra mathematics classes,curriculum,peer_reviewed_research,School/Teacher Level,School/Teacher: Context
10.1016/j.seps.2019.06.009,SCHSIZE,School size,school,peer_reviewed_research,School/Teacher Level,School/Teacher: Context
10.1016/j.seps.2019.06.009,CLSIZE,Class size,school,peer_reviewed_research,School/Teacher Level,School/Teacher: Context
10.1016/j.seps.2019.06.009,SCHLOC,School location (rural),school,peer_reviewed_research,School/Teacher Level,School/Teacher: Context
10.1016/j.seps.2019.06.009,PCGIRLS,Proportion of girls,demographic,peer_reviewed_research,Student Level,Student: Demographic
10.1016/j.seps.2019.06.009,COMP,Competition (dummy),school,peer_reviewed_research,School/Teacher Level,School/Teacher: Context
10.1016/j.seps.2019.06.009,PRESS,Parental pressure,parent_home,peer_reviewed_research,Student Level,Student: SES
10.1186/s40536-025-00262-x,country_indicator,Country indicator,system_level,peer_reviewed_research,System/Country Level,System: Policy/Context
10.1186/s40536-025-00262-x,gender,Gender,demographic,peer_reviewed_research,Student Level,Student: Demographic
10.1186/s40536-025-00262-x,language_of_test_at_home,Language spoken at home,demographic,peer_reviewed_research,Student Level,Student: Demographic
10.1186/s40536-025-00262-x,books_at_home,Books at home,socioeconomic,peer_reviewed_research,Student Level,Student: SES
10.1186/s40536-025-00262-x,home_computer_tablet,Home computer/tablet,socioeconomic,peer_reviewed_research,Student Level,Student: SES
10.1186/s40536-025-00262-x,study_desk,Study desk,student_behavior,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1186/s40536-025-00262-x,own_room,own room,student_behavior,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1186/s40536-025-00262-x,internet_connection,Internet connection at home,socioeconomic,peer_reviewed_research,Student Level,Student: SES
10.1186/s40536-025-00262-x,computer_use_schoolwork_home,Computer use for schoolwork (home),ict,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1186/s40536-025-00262-x,computer_use_schoolwork_school,Computer use for schoolwork (school),ict,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1186/s40536-025-00262-x,computer_use_schoolwork_other,Computer use for schoolwork (other),ict,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1186/s40536-025-00262-x,peer_made_fun,Peer teasing/bullying,peer_effects,peer_reviewed_research,School/Teacher Level,School/Teacher: Context
10.1186/s40536-025-00262-x,peer_left_out,Peer exclusion,peer_effects,peer_reviewed_research,School/Teacher Level,School/Teacher: Context
10.1186/s40536-025-00262-x,peer_spread_lies,Peer rumor spreading,peer_effects,peer_reviewed_research,School/Teacher Level,School/Teacher: Context
10.1186/s40536-025-00262-x,peer_stole_something,Peer theft,peer_effects,peer_reviewed_research,School/Teacher Level,School/Teacher: Context
10.1186/s40536-025-00262-x,peer_hit_hurt,Peer hitting/hurting,peer_effects,peer_reviewed_research,School/Teacher Level,School/Teacher: Context
10.1186/s40536-025-00262-x,peer_made_do_unwanted,Peer coercion,peer_effects,peer_reviewed_research,School/Teacher Level,School/Teacher: Context
10.1186/s40536-025-00262-x,school_belonging,Belonging at school,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1186/s40536-025-00262-x,school_safety,Feeling safe at school,school,peer_reviewed_research,School/Teacher Level,School/Teacher: Context
10.1186/s40536-025-00262-x,school_liking,Enjoying being in school,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1186/s40536-025-00262-x,enjoy_learning_math,Enjoyment of learning math,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1186/s40536-025-00262-x,math_boring,Math is boring,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1186/s40536-025-00262-x,math_interests,Interest in mathematics,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1186/s40536-025-00262-x,math_self_confidence,Self-confidence in math,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1186/s40536-025-00262-x,math_difficulty_relative,Math difficulty vs classmates,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1186/s40536-025-00262-x,math_not_strength,Math not a strength,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1186/s40536-025-00262-x,learn_things_quickly_math,Learning math quickly,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1186/s40536-025-00262-x,working_out_difficult_math,Working out difficult problems,student_attitude,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1186/s40536-025-00262-x,teacher_expectations_understanding,Teacher expectations clarity,teacher,peer_reviewed_research,School/Teacher Level,School/Teacher: Practice
10.1186/s40536-025-00262-x,teacher_easy_to_understand,Teacher easy to understand,teacher,peer_reviewed_research,School/Teacher Level,School/Teacher: Practice
10.1186/s40536-025-00262-x,teacher_interesting_things,Teacher gives interesting tasks,teacher,peer_reviewed_research,School/Teacher Level,School/Teacher: Practice
